"CMS Certification Number (CCN)","Facility Name","Address Line 1","Address Line 2","City","State","Zip Code","County Name","PhoneNumber","CMS Region","Condition","Count"
"013025","HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","3800 RIDGEWAY DRIVE","","BIRMINGHAM","AL","35209","Jefferson","(205) 868-2000","4","Stroke","318"
"013025","HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","3800 RIDGEWAY DRIVE","","BIRMINGHAM","AL","35209","Jefferson","(205) 868-2000","4","Nervous system disorder (excluding stroke)","576"
"013025","HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","3800 RIDGEWAY DRIVE","","BIRMINGHAM","AL","35209","Jefferson","(205) 868-2000","4","Brain disease or condition (non-traumatic)","174"
"013025","HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","3800 RIDGEWAY DRIVE","","BIRMINGHAM","AL","35209","Jefferson","(205) 868-2000","4","Brain injury (traumatic)","77"
"013025","HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","3800 RIDGEWAY DRIVE","","BIRMINGHAM","AL","35209","Jefferson","(205) 868-2000","4","Spinal cord disease or condition (non-traumatic)","81"
"013025","HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","3800 RIDGEWAY DRIVE","","BIRMINGHAM","AL","35209","Jefferson","(205) 868-2000","4","Spinal cord injury (traumatic)","38"
"013025","HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","3800 RIDGEWAY DRIVE","","BIRMINGHAM","AL","35209","Jefferson","(205) 868-2000","4","Hip or femur fracture","218"
"013025","HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","3800 RIDGEWAY DRIVE","","BIRMINGHAM","AL","35209","Jefferson","(205) 868-2000","4","Hip or knee replacement, amputation or other bone or joint condition","528"
"013025","HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL","3800 RIDGEWAY DRIVE","","BIRMINGHAM","AL","35209","Jefferson","(205) 868-2000","4","All other conditions","249"
"013029","HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","107 GOVERNORS DRIVE","","HUNTSVILLE","AL","35801","Madison","(205) 535-2300","4","Stroke","291"
"013029","HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","107 GOVERNORS DRIVE","","HUNTSVILLE","AL","35801","Madison","(205) 535-2300","4","Nervous system disorder (excluding stroke)","142"
"013029","HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","107 GOVERNORS DRIVE","","HUNTSVILLE","AL","35801","Madison","(205) 535-2300","4","Brain disease or condition (non-traumatic)","69"
"013029","HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","107 GOVERNORS DRIVE","","HUNTSVILLE","AL","35801","Madison","(205) 535-2300","4","Brain injury (traumatic)","44"
